n,instancia_id,encontrado,timeout,pasos,tiempo_ms,nodos_expandidos,nodos_generados,memoria_max
3,0,True,,24,39.896,1151,1871,1846
3,1,True,,18,10.74,368,612,603
3,2,True,,20,20.582,651,1060,1042
3,3,True,,23,53.125,1725,2789,2735
3,4,True,,14,1.486,50,89,89
3,5,True,,20,21.478,667,1101,1084
3,6,True,,24,37.484,1231,1992,1964
3,7,True,,21,18.924,611,981,967
3,8,True,,20,15.37,492,804,795
3,9,True,,25,150.479,4606,7391,7208
3,10,True,,24,76.187,2319,3745,3671
3,11,True,,17,5.577,197,328,326
3,12,True,,24,43.722,1327,2131,2089
3,13,True,,15,2.47,71,118,117
3,14,True,,24,113.719,2585,4163,4066
3,15,True,,26,196.734,4491,7197,7036
3,16,True,,28,297.143,7666,12151,11874
3,17,True,,20,7.567,232,380,377
3,18,True,,20,11.825,299,484,475
3,19,True,,26,128.321,3931,6271,6130
3,20,True,,21,26.576,847,1375,1346
3,21,True,,24,72.767,2256,3647,3572
3,22,True,,22,18.197,611,980,957
3,23,True,,17,6.825,222,370,368
3,24,True,,20,3.694,103,167,166
3,25,True,,18,2.977,99,166,162
3,26,True,,22,29.492,920,1498,1475
3,27,True,,19,19.24,583,967,947
3,28,True,,15,1.949,57,98,97
3,29,True,,26,143.687,4498,7183,6998
4,0,True,,32,991.839,17685,34910,34392
4,1,True,,34,3046.205,32471,64015,63172
4,2,True,,36,13333.403,134461,263431,257788
4,3,True,,18,2.589,55,117,117
4,4,True,,36,11906.467,173088,344791,340524
4,5,True,,34,1138.892,21496,43407,42957
4,6,True,,30,151.226,2865,5915,5888
4,7,True,,38,4645.145,73718,146549,145313
4,8,True,,20,36.215,722,1488,1475
4,9,True,,32,716.479,12953,25876,25530
4,10,True,,20,3.528,54,116,116
4,11,True,,28,104.069,1759,3498,3484
4,12,True,,30,476.426,7988,16034,15824
4,13,True,,32,2468.447,39537,79024,77898
4,14,True,,30,517.253,9662,19424,19183
4,15,True,,32,94.718,1872,3776,3768
4,16,True,,10,0.768,15,33,33
4,17,True,,40,2112.927,33993,67603,67167
4,18,True,,38,12171.496,178916,353161,348259
4,19,True,,26,55.327,1062,2232,2223
4,20,True,,24,46.216,870,1791,1789
4,21,True,,14,2.593,41,84,83
4,22,True,,18,6.738,125,267,267
4,23,True,,32,117.332,2241,4319,4280
4,24,True,,38,9706.618,149218,295134,292070
4,25,True,,36,5415.116,83267,166322,163304
4,26,True,,30,481.241,9131,18463,18281
4,27,True,,26,86.197,1684,3385,3354
4,28,True,,34,1013.2,17415,34568,34250
4,29,True,,28,242.34,4570,9100,8987
5,0,True,,36,215.014,2843,6394,6370
5,1,False,nodos,,30873.403,300000,693176,684040
5,2,False,nodos,,31308.761,300000,686002,677168
5,3,True,,44,21418.318,194741,438597,435727
5,4,False,nodos,,29708.333,300000,662524,655583
5,5,True,,38,2043.38,23265,52175,51706
5,6,False,nodos,,31315.568,300000,693860,686716
5,7,False,nodos,,29606.176,300000,685851,675879
5,8,True,,36,299.179,3689,8654,8641
5,9,False,nodos,,30922.012,300000,679820,672389
5,10,True,,54,17622.554,183599,396471,392117
5,11,False,nodos,,30542.228,300000,671675,657627
5,12,True,,32,2484.382,32266,72130,71408
5,13,True,,42,2919.412,32085,71474,71099
5,14,True,,48,14515.101,150385,332921,331237
5,15,True,,44,5784.798,60468,131459,129994
5,16,True,,34,853.711,10294,23208,23092
5,17,False,nodos,,29213.638,300000,664152,657225
5,18,True,,36,603.737,7564,17133,17100
5,19,False,nodos,,30840.847,300000,677202,664803
5,20,False,nodos,,30427.324,300000,686621,678133
5,21,False,nodos,,30658.683,300000,684824,676017
5,22,False,nodos,,31104.777,300000,685781,678460
5,23,True,,40,3610.849,45014,103432,102546
5,24,True,,34,278.869,3679,8063,8040
5,25,True,,36,313.915,4011,8943,8895
5,26,False,nodos,,28757.279,300000,647783,642567
5,27,True,,46,27700.321,267529,601404,596515
5,28,False,nodos,,30060.905,300000,675398,668717
5,29,False,nodos,,31041.682,300000,692107,686014
6,0,False,nodos,,41342.994,300000,755699,751921
6,1,False,nodos,,38666.524,300000,716053,710651
6,2,False,nodos,,39165.268,300000,740613,736055
6,3,False,nodos,,39627.806,300000,721641,714068
6,4,False,nodos,,40748.973,300000,742245,737448
6,5,False,nodos,,37241.517,300000,683976,679183
6,6,False,nodos,,38683.149,300000,742446,736024
6,7,False,nodos,,40598.014,300000,734976,731288
6,8,False,nodos,,39096.601,300000,705975,701470
6,9,False,nodos,,40601.537,300000,748379,743497
6,10,False,nodos,,38613.307,300000,712048,709876
6,11,False,nodos,,38617.324,300000,728900,723950
6,12,True,,44,5639.942,48990,116085,115441
6,13,False,nodos,,39947.578,300000,728609,725135
6,14,False,nodos,,40505.408,300000,735405,729713
6,15,False,nodos,,40749.511,300000,733497,728663
6,16,False,nodos,,40209.28,300000,686429,675994
6,17,False,nodos,,38258.007,300000,696041,692272
6,18,False,nodos,,40777.886,300000,745340,740765
6,19,False,nodos,,40348.961,300000,729960,724258
6,20,False,nodos,,40945.796,300000,730786,727169
6,21,False,nodos,,41363.868,300000,743391,738690
6,22,False,nodos,,38701.394,300000,692243,688179
6,23,False,nodos,,41127.899,300000,739753,733234
6,24,False,nodos,,40956.805,300000,730847,727498
6,25,False,nodos,,40679.505,300000,720273,715997
6,26,False,nodos,,41980.786,300000,735121,731707
6,27,False,nodos,,39637.476,300000,731098,724968
6,28,False,nodos,,40623.051,300000,746828,740461
6,29,False,nodos,,40839.848,300000,727005,719852
